Date,Open,High,Low,Close,Volume,Currency
2021-10-14,5.71,5.754,5.58,5.637,20399900,EUR
2021-10-15,5.68,5.835,5.675,5.769,49377600,EUR
2021-10-18,5.747,5.823,5.736,5.823,142724608,EUR
2021-10-19,5.801,5.857,5.754,5.776,66672600,EUR
2021-10-20,5.763,5.862,5.717,5.83,84651200,EUR
2021-10-21,5.777,5.787,5.637,5.661,49572700,EUR
2021-10-22,5.671,5.727,5.632,5.686,15532500,EUR
2021-10-25,5.65,5.734,5.586,5.701,15565400,EUR
2021-10-26,5.701,5.735,5.611,5.683,13944800,EUR
2021-10-27,5.68,5.744,5.562,5.615,17130100,EUR
2021-10-28,5.599,5.674,5.501,5.641,15379800,EUR
2021-10-29,5.76,6.099,5.76,6.062,45385000,EUR
2021-11-01,6.052,6.292,6.03,6.279,19040400,EUR
2021-11-02,6.202,6.254,6.141,6.162,14286900,EUR
2021-11-03,6.155,6.189,6.064,6.183,14959600,EUR
2021-11-04,6.22,6.26,6.005,6.04,37116300,EUR
2021-11-05,6.028,6.107,5.997,6.026,17151900,EUR
2021-11-08,6.006,6.089,5.995,6.021,17912000,EUR
2021-11-09,5.991,6.04,5.936,5.973,9689800,EUR
2021-11-10,5.976,6.047,5.967,6.032,10651000,EUR
2021-11-11,6.04,6.118,6.03,6.08,23857700,EUR
2021-11-12,6.18,6.186,6.073,6.127,14890100,EUR
